seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	112533397	112533516	120	*	X00779	3752	112318454	112531777	213324	-	1619	upstream	1619	KCND3
chr1	112533397	112533516	120	*	X00779	643355	112533190	112541463	8274	+	0	inside	206	LINC01750
chr1	113261679	113261727	49	*	X00788	284467	113263189	113269856	6668	+	1461	upstream	1461	TAFA3
chr1	115396640	115396718	79	*	X00790	6847	115397455	115537990	140536	+	736	upstream	736	SYCP1
chr1	115881133	115881237	105	*	X00791	4803	115828537	115880857	52321	-	275	upstream	275	NGF
chr1	115881616	115881825	210	*	X00792	4803	115828537	115880857	52321	-	758	upstream	758	NGF
chr1	119532455	119532534	80	*	X00796	6913	119425666	119532179	106514	-	275	upstream	275	TBX15
chr1	145471958	145472032	75	*	X00811	84265	145456236	145470387	14152	-	1570	upstream	1570	POLR3GL
chr1	145472312	145472384	73	*	X00812	84265	145456236	145470387	14152	-	1924	upstream	1924	POLR3GL
chr1	145477279	145477306	28	*	X00814	128077	145477085	145499091	22007	+	0	inside	193	LIX1L
chr1	145549497	145549616	120	*	X00815	148741	145549209	145568526	19318	+	0	inside	287	ANKRD35
chr1	147485348	147485437	90	*	X00826	728939	145924388	147484331	1559944	-	1016	upstream	1016	NA
chr1	151691260	151691337	78	*	X00832	11189	151672534	151689290	16757	-	1969	upstream	1969	CELF3
chr1	151809497	151809616	120	*	X00834	100132111	151810945	151816641	5697	+	1328	upstream	1328	C2CD4D-AS1
chr1	153508453	153508514	62	*	X00841	6277	153507076	153508717	1642	-	0	inside	202	S100A6
chr1	153650420	153650554	135	*	X00842	4881	153651164	153666468	15305	+	609	upstream	609	NPR1
chr1	153651037	153651156	120	*	X00843	4881	153651164	153666468	15305	+	7	upstream	7	NPR1
chr1	154475523	154475672	150	*	X00845	126669	154451954	154474526	22573	-	996	upstream	996	SHE
chr1	155099024	155099143	120	*	X00857	1942	155100349	155107386	7038	+	1205	upstream	1205	EFNA1
chr1	155099264	155099383	120	*	X00858	1942	155100349	155107386	7038	+	965	upstream	965	EFNA1
chr1	155099865	155099984	120	*	X00859	1942	155100349	155107386	7038	+	364	upstream	364	EFNA1
chr1	155100629	155100733	105	*	X00860	1942	155100349	155107386	7038	+	0	inside	279	EFNA1
chr1	156390916	156391125	210	*	X00870	407046	156390133	156390221	89	-	694	upstream	694	MIR9-1
chr1	156391186	156391335	150	*	X00871	407046	156390133	156390221	89	-	964	upstream	964	MIR9-1
chr1	156400482	156400615	134	*	X00876	10485	156374055	156400493	26439	-	0	overlapStart	0	MIR9-1HG
chr1	156401966	156401995	30	*	X00877	10485	156374055	156400493	26439	-	1472	upstream	1472	MIR9-1HG
chr1	156611163	156611297	135	*	X00883	63827	156611740	156629324	17585	+	442	upstream	442	BCAN
chr1	156785718	156785764	47	*	X00894	4914	156785542	156851642	66101	+	0	inside	175	NTRK1
chr1	156863195	156863494	300	*	X00912	375033	156863523	156886226	22704	+	28	upstream	28	PEAR1
chr1	156889940	156889965	26	*	X00913	149499	156890424	156902880	12457	+	458	upstream	458	LRRC71
chr1	159825559	159825678	120	*	X00925	284677	159804264	159825137	20874	-	421	upstream	421	SNHG28
chr1	160039873	160040025	153	*	X00929	3766	160007257	160040051	32795	-	0	inside	25	KCNJ10
chr1	160040934	160041023	90	*	X00930	3766	160007257	160040051	32795	-	882	upstream	882	KCNJ10
chr1	160041673	160041792	120	*	X00931	3766	160007257	160040051	32795	-	1621	upstream	1621	KCNJ10
chr1	165325997	165326097	101	*	X00948	4009	165171104	165325952	154849	-	44	upstream	44	LMX1A
chr1	165414722	165414856	135	*	X00952	6258	165370159	165414592	44434	-	129	upstream	129	RXRG
chr1	166942771	166942875	105	*	X00955	84944	166944819	166991447	46629	+	1943	upstream	1943	MAEL
chr1	166945745	166945864	120	*	X00956	387597	166882441	166944561	62121	-	1183	upstream	1183	ILDR2
chr1	167598359	167598508	150	*	X00960	92241	167599474	167675486	76013	+	965	upstream	965	RCSD1
chr1	167599375	167599464	90	*	X00961	92241	167599474	167675486	76013	+	9	upstream	9	RCSD1
chr1	170632185	170632254	70	*	X00973	5396	170633313	170708541	75229	+	1058	upstream	1058	PRRX1
chr1	170632810	170632914	105	*	X00974	5396	170633313	170708541	75229	+	398	upstream	398	PRRX1
chr1	170633110	170633165	56	*	X00975	5396	170633313	170708541	75229	+	147	upstream	147	PRRX1
chr1	177134332	177134451	120	*	X00989	460	176826441	177134024	307584	-	307	upstream	307	ASTN1
chr1	177139042	177139146	105	*	X00990	57795	177140633	177251558	110926	+	1486	upstream	1486	BRINP2
chr1	177140583	177140687	105	*	X00991	57795	177140633	177251558	110926	+	0	overlapStart	0	BRINP2
chr1	180198077	180198211	135	*	X00995	89884	180199433	180244188	44756	+	1221	upstream	1221	LHX4
chr1	181452325	181452429	105	*	X01012	777	181452686	181775921	323236	+	256	upstream	256	CACNA1E
chr1	182573632	182573711	80	*	X01015	6004	182567758	182573548	5791	-	83	upstream	83	RGS16
chr1	182583957	182584076	120	*	X01016	284648	182584275	182585764	1490	+	198	upstream	198	LINC01686
chr1	185703642	185703746	105	*	X01021	83872	185703683	186160085	456403	+	0	overlapStart	0	HMCN1
chr1	190446777	190446896	120	*	X01025	339479	190066797	190446759	379963	-	17	upstream	17	BRINP3
chr1	190447317	190447451	135	*	X01026	339479	190066797	190446759	379963	-	557	upstream	557	BRINP3
chr1	197880114	197880156	43	*	X01030	56956	197881635	197901715	20081	+	1478	upstream	1478	LHX9
chr1	201084371	201084505	135	*	X01045	647219	201083081	201084500	1420	-	0	overlapStart	0	ASCL5
chr1	201084681	201084860	180	*	X01046	647219	201083081	201084500	1420	-	180	upstream	180	ASCL5
chr1	201368910	201369029	120	*	X01047	3898	201349966	201368669	18704	-	240	upstream	240	LAD1
chr1	201438650	201438718	69	*	X01048	23612	201434607	201438299	3693	-	350	upstream	350	PHLDA3
chr1	202679656	202679760	105	*	X01058	127833	202559725	202679551	119827	-	104	upstream	104	SYT2
chr1	202679864	202679968	105	*	X01059	127833	202559725	202679551	119827	-	312	upstream	312	SYT2
chr1	203096731	203096865	135	*	X01064	134	203096836	203136533	39698	+	0	overlapStart	0	ADORA1
chr1	203272686	203272745	60	*	X01068	7832	203274664	203278729	4066	+	1918	upstream	1918	BTG2
chr1	203274947	203275051	105	*	X01069	730227	203267886	203274453	6568	-	493	upstream	493	LINC01136
chr1	203274947	203275051	105	*	X01069	7832	203274664	203278729	4066	+	0	inside	282	BTG2
chr1	204654703	204654705	3	*	X01083	10446	204586303	204654597	68295	-	105	upstream	105	LRRN2
chr1	204654736	204654825	90	*	X01084	10446	204586303	204654597	68295	-	138	upstream	138	LRRN2
chr1	205012178	205012199	22	*	X01094	6900	205012065	205047171	35107	+	0	inside	112	CNTN2
chr1	205538108	205538116	9	*	X01096	148808	205538112	205572046	33935	+	0	overlapStart	0	MFSD4A
chr1	205537850	205538040	191	*	X01097	148808	205538112	205572046	33935	+	71	upstream	71	MFSD4A
chr1	205538372	205538761	390	*	X01098	148808	205538112	205572046	33935	+	0	inside	259	MFSD4A
chr1	205744244	205744378	135	*	X01103	8934	205737114	205744610	7497	-	0	inside	231	RAB29
chr1	206223325	206223414	90	*	X01104	553	206224283	206231482	7200	+	868	upstream	868	AVPR1B
chr1	206224045	206224164	120	*	X01105	553	206224283	206231482	7200	+	118	upstream	118	AVPR1B
chr1	206224315	206224449	135	*	X01106	553	206224283	206231482	7200	+	0	inside	31	AVPR1B
chr1	206680056	206680190	135	*	X01107	83593	206680879	206762616	81738	+	688	upstream	688	RASSF5
chr1	206680731	206680835	105	*	X01108	83593	206680879	206762616	81738	+	43	upstream	43	RASSF5
chr1	206857765	206857884	120	*	X01115	9261	206858365	206907630	49266	+	480	upstream	480	MAPKAPK2
chr1	206858080	206858087	8	*	X01116	9261	206858365	206907630	49266	+	277	upstream	277	MAPKAPK2
chr1	207626720	207626854	135	*	X01118	1380	207627645	207663240	35596	+	790	upstream	790	CR2
chr1	209847376	209847510	135	*	X01121	50486	209848670	209849735	1066	+	1159	upstream	1159	G0S2
chr1	209847811	209847915	105	*	X01122	50486	209848670	209849735	1066	+	754	upstream	754	G0S2
chr1	209848546	209848665	120	*	X01123	50486	209848670	209849735	1066	+	4	upstream	4	G0S2
chr1	210404351	210404470	120	*	X01126	56256	210406195	210416440	10246	+	1724	upstream	1724	SERTAD4
chr1	210405535	210405654	120	*	X01127	56256	210406195	210416440	10246	+	540	upstream	540	SERTAD4
chr1	210405850	210405907	58	*	X01128	56256	210406195	210416440	10246	+	287	upstream	287	SERTAD4
chr1	212874229	212874363	135	*	X01141	55509	212859759	212873327	13569	-	901	upstream	901	BATF3
chr1	214159591	214159710	120	*	X01149	5629	214161278	214214847	53570	+	1567	upstream	1567	PROX1
